path,label
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset31.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset32.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset33.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset34.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset35.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset36.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset37.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset38.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset39.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset310.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset311.png,labelvalue
C:/Users/Jeremy.COMELLI/Desktop/TPI/Dataset/dataset312.png,labelvalue
